GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.Security,SecurityConfig.new AuthenticationEntryPoint() {...},17,0,0,0,5,0,2,0,2,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.Security,CustomAccessDeniedHandler,14,0,0,0,5,0,2,0,2,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.Security,SecurityConfig,199,0,0,0,27,0,6,0,6,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.Security,CustomUserDetailsServiceImpl,31,0,2,0,6,0,4,0,3,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.Security,CustomUserDetails,39,0,0,0,11,0,9,0,9,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.Security,JwtUtils,99,4,0,0,25,1,8,1,8,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.Security,JWTRequestFilter,73,0,6,0,19,0,5,0,2,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.controller,ReportingController,53,0,0,0,11,0,11,0,11,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.controller,AdminController,0,30,0,0,0,7,0,7,0,7
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.controller,UserController,0,98,2,2,0,20,2,9,0,9
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.config,MailConfig,44,0,0,0,12,0,2,0,2,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank,Application,25,0,0,0,8,0,3,0,3,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.entity,UserRole,0,21,0,0,0,2,0,1,0,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.repository,TokenBlacklistRepository,19,0,0,0,5,0,3,0,3,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.util,AccountUtils,3,37,0,0,1,8,1,1,1,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.exception,ApiException,4,0,0,0,2,0,1,0,1,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.exception,UserInactiveException,4,0,0,0,2,0,1,0,1,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.exception,GlobalExceptionHandler,17,0,0,0,3,0,3,0,3,0
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.bankStatement,BankStatement,10,4,0,0,2,1,2,1,2,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.dto,UpdateAccountStatusRequest,0,3,0,0,0,1,0,1,0,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.dto,TransferRequest,0,3,0,0,0,2,0,1,0,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.dto,CreditDebitRequest,0,3,0,0,0,2,0,1,0,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.dto,SigninRequest,0,3,0,0,0,1,0,1,0,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.dto,SignupRequest,0,3,0,0,0,2,0,1,0,1
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.service.impl,UserServiceImpl,60,269,6,14,14,57,6,10,1,5
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.service.impl,TransactionServiceImpl,0,19,0,0,0,6,0,2,0,2
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.service.impl,EmailServiceImpl,64,36,0,0,16,11,1,3,1,3
spring_boot_backend_security_jwt_template,com.app.team2.technotribe.krasvbank.service.impl,AdminServiceImpl,0,94,0,6,0,27,0,8,0,5
